AuthorID,Author,Date,Content,Attachments,Reactions
838457928805646000.00,discordtest1#5544,03/05/2021 21:44,Link me in,,
845252450285912000.00,discordtest2#1420,03/05/2021 21:55,Hello?,,
845252450285912000.00,discordtest2#1420,03/05/2021 21:55,Is this You?,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:08,https://www.twitch.tv/,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:13,Yeah this is Me,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:13,ha ha,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:14,I like curse of Strad,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:14,good campaign,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:14,Did a Paladin for it before,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:14,yeah. its decent,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:14,im just being a bit silly,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:14,Standard Murderhobo party?,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:15,the group are all a bit too goody goody and im always contraryian,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:15,and then have a standoff with them later on,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:15,I like how everyone is their names on Discord and you're just Yourself,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:16,Ha ha! Yeah 😉,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:17,I love trying to do voices for different people,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:17,like weird creatures that you find on the campaign,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:17,especially the evil ones..,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:18,"random person, who i used to do a campaign with posted that last time he heard my voice I was an orc trying to be weird",,
838457928805646000.00,discordtest1#5544,03/05/2021 22:18,only trying?,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:18,what kind of Orc were you,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:18,barbarian i think,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:18,no excuse,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:19,he was reluctant,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:19,but your barbarian furor!,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:20,That campaign ended with his elven character needing medical attention- my character punching him by way of trying to help- thus killing him. I then gave him a viking funeral.,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:21,"beautiful. Ah yes, big fan of the vicious closed fist healing skill",,
838457928805646000.00,discordtest1#5544,03/05/2021 22:21,underrated,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:21,My character was good at fighting,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:21,of course he was,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:28,"thought that was going to be something like ""spawn a beetle""",,
838457928805646000.00,discordtest1#5544,03/05/2021 22:28,just a small one,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:28,I was thinking that but it had to be a medium creature,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:28,And I wanted it to make sense,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:28,I think start off sensible and then get wacky later,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:29,"ah yes, don't tell them yet about the Cheetah's fashionable hat",,
838457928805646000.00,discordtest1#5544,03/05/2021 22:29,he makes a new one out of every adversary he takes down,,
845252450285912000.00,discordtest2#1420,03/05/2021 22:29,I think a spectral cheetah appearing out of nowhere would get a better response tbh,,
838457928805646000.00,discordtest1#5544,03/05/2021 22:30,fair enough,,
